date,tenor,tranche,rho_node,tranche_dv01,index_dv01,hedge_ratio,rho_delta_mean,rho_delta_std,rho_delta_cv
2024-11-21,7.0,Mezz_3_7,0.590360248413882,0.03259148271261836,0.04742255462236722,0.6872570019086726,-0.11584979840796254,5.564944824393221e-08,4.803586109659327e-07
2024-11-21,7.0,Mezz_7_10,0.6569302057728521,0.028347318755672646,0.038673434369085324,0.7329920194088803,-0.12564573462973394,0.00010232316264853001,0.0008143783229097801
2024-11-21,7.0,Senior_10_15,0.7129565892437558,0.01202697140545439,0.02209155548271724,0.5444148744919017,-0.12779058997795237,1.3835905407692332e-05,0.00010827014266136053
2024-11-24,1.0,Equity_0_3,0.2638642076870388,0.002117665400570845,0.0021176654847049337,0.9999999602703594,-0.0008710687589932637,1.2414464560351718e-08,1.4251991512931444e-05
2024-11-24,1.0,Mezz_3_7,0.03227912966475646,1.1102230246251565e-12,1.1102230246251565e-12,inf,-2.3129646346357425e-16,3.2710259555911977e-16,0.0003271025955591198
2024-11-24,1.0,Mezz_7_10,0.03831320560013668,0.0,0.0,inf,0.0,0.0,0.0
2024-11-24,1.0,Senior_10_15,0.05436927361524304,0.0,0.0,inf,0.0,0.0,0.0
2024-11-24,2.0,Equity_0_3,0.436592664727785,0.004820645227859854,0.006127651699175396,0.786703530898888,-0.008709490943556782,5.366975721927968e-08,6.162215170449678e-06
2024-11-24,2.0,Mezz_3_7,0.44387721990388723,0.002448123746640052,0.002254741939544669,1.0857667140100455,-0.005112937430544469,1.0078329591537182e-07,1.9711427586282738e-05
2024-11-24,2.0,Mezz_7_10,0.4454438050878576,0.0002315146137993329,0.0012005700211759063,0.19283724373908187,-0.004302637213883748,6.289163188057265e-08,1.4616996217490508e-05
2024-11-24,2.0,Senior_10_15,0.4517856467068039,0.0005739782377167657,0.0007388279044118207,0.7768767723705678,-0.002265789839755309,1.1487587102759842e-07,5.070014394627363e-05
2024-11-24,3.0,Equity_0_3,0.4575324418477884,0.00929055564077852,0.012806728387493305,0.725443326326138,-0.018922548556014867,5.854437739820952e-06,0.000309389494892326
2024-11-24,3.0,Mezz_3_7,0.4923404055619948,0.0043784526113088695,0.006819616583664256,0.6420379441561329,-0.015261544355518047,4.1400696709712387e-05,0.002712746216587401
