Date,Tenor,Index_Bid,Index_Ask,Index_Last,Index_Mid,Equity_0_3_Spread,Equity_0_3_Upfront,Mezz_3_7_Spread,Mezz_3_7_Upfront,Mezz_7_10_Spread,Senior_10_15_Spread,SuperSenior_15_100_Spread,Index_0_100_Spread
2024-11-25,3Y,31.78,32.18,32.274  ,31.98,704.13,16.217435,,1.128709,,,13.02,39.41
2024-11-25,5Y,52.39,52.63,52.564 ,52.510000000000005,841.94,29.306872,,5.71566,,,23.75,57.26
2024-11-25,7Y,70.03,73.63,71.450 ,71.83,971.03,42.190558,,13.197973,,,39.93,80.26
2024-11-25,10Y,91.56,91.72,91.772 ,91.64,"1,016.40",52.252184,,21.446742,,,55.69,97.74
2024-11-26,1Y,15.2,15.7,15.45,15.45,521.92,4.325212,54.05,-0.484883,21.75,5.75,4.53,22.21
2024-11-26,2Y,23.16,23.66,23.41,23.41,611.14,9.727968,93.9,-0.122063,41.61,15.41,8.08,30.06
2024-11-26,3Y,31.168,32.023,31.595,31.5955,700.38,16.116891,137.98,1.103429,65.59,28.25,12.61,38.92
2024-11-26,5Y,51.398,52.098,51.748,51.748000000000005,846.72,29.180664,224.75,5.59938,118.23,60.29,22.03,55.97
2024-11-26,7Y,68.987,72.154,70.57,70.5705,965.69,42.007844,321.07,13.073011,182.65,102.27,38.77,78.98
2024-11-26,10Y,90.664,91.097,90.88,90.8805,"1,011.06",52.092906,383.83,21.300003,232.22,139.86,54.28,96.24
2024-12-01,1Y,15.08,15.58,15.33,15.33,508.84,4.142673,,-0.499335,20.5,5.49,4.13,21.39
2024-12-01,2Y,22.97,23.47,23.22,23.22,600.33,9.473432,,-0.167302,39.88,14.83,7.5,29.11
2024-12-01,3Y,30.484,31.584,31.034,31.034,689.74,15.788677,,1.019259,63.35,27.31,11.82,37.77
2024-12-01,5Y,51.095,51.438,51.267,51.2665,790.79,27.51349,,5.0601,115.83,58.7,22.16,51.73
2024-12-01,7Y,68.664,71.73,70.197,70.197,958.87,41.688374,,12.782471,180.07,100.66,37.52,77.56
2024-12-01,10Y,90.282,90.73,90.506,90.506,1004.89,51.800378,,21.135941,229.72,138.15,52.8,94.65
2024-12-02,1Y,15.04,15.54,15.29,15.29,512.83,4.171442,,-0.494372,20.49,5.49,4.12,21.43
2024-12-02,2Y,22.96,23.46,23.21,23.21,601.23,9.475317,,-0.166097,39.82,14.8,7.47,29.11
2024-12-02,3Y,30.363,31.368,30.919,30.865499999999997,690.97,15.798633,,1.022428,63.32,27.29,11.77,37.76
2024-12-02,5Y,51.088,51.372,51.23,51.230000000000004,828.7,28.742048,,5.481373,114.47,57.81,21.7,54.82
2024-12-02,7Y,68.712,71.334,70.023,70.023,958.37,41.586086,,12.856513,179.33,100.27,36.88,76.94
2024-12-02,10Y,90.212,90.617,90.413,90.4145,1004.53,51.649231,,21.02854,228.96,137.69,51.92,93.82
2024-12-03,1Y,14.95,15.45,15.2,15.2,505.78,4.09192,51.06,-0.507525,20.41,5.13,4.35,21.39
2024-12-03,2Y,22.84,23.34,23.09,23.09,588.09,9.227929,89.15,-0.215291,39.09,13.92,7.92,28.92
2024-12-03,3Y,30.488,31.403,30.921,30.9455,672.66,15.33401,130.3,0.875317,61.53,25.81,12.28,37.35
2024-12-03,5Y,50.996,51.212,51.104,51.104,808.13,28.028306,212.24,5.081741,110.5,55.2,21.76,53.91
2024-12-03,7Y,68.587,71.359,69.973,69.973,929.3,40.494622,304.32,12.075943,171.98,95.11,37.27,75.74
2024-12-03,10Y,90.16,90.588,90.374,90.374,974.91,50.541067,365.54,19.969425,219.81,131.07,52.24,92.56
