tranche,scenario,pnl_unhedged
7Y|3-7,PC1_dn_1sigma,0.04974625438113224
7Y|3-7,PC2_up_1sigma,0.04912099318775411
7Y|3-7,PC2_dn_1sigma,-0.04912099318775411
7Y|3-7,PC3_up_1sigma,-0.0016993297060849345
7Y|3-7,PC3_dn_1sigma,0.0016993297060849345
7Y|3-7,PC1_up_PC2_up,-0.0006252611933781257
7Y|3-7,PC1_up_PC3_up,-0.051445584087217174
7Y|3-7,PC2_up_PC3_up,0.04742166348166918
7Y|3-7,PC1_dn_PC2_dn,0.0006252611933781257
7Y|7-10,PC1_up_1sigma,-0.030908485429509535
7Y|7-10,PC1_dn_1sigma,0.030908485429509535
7Y|7-10,PC2_up_1sigma,0.026417103109656826
7Y|7-10,PC2_dn_1sigma,-0.026417103109656826
7Y|7-10,PC3_up_1sigma,-0.027342973387266913
7Y|7-10,PC3_dn_1sigma,0.027342973387266913
7Y|7-10,PC1_up_PC2_up,-0.004491382319852708
7Y|7-10,PC1_up_PC3_up,-0.05825145881677645
7Y|7-10,PC2_up_PC3_up,-0.0009258702776100878
7Y|7-10,PC1_dn_PC2_dn,0.004491382319852708
