tranche_tenor,tranche_name,factor,raw_exposure,normalized_exposure,explained_variance_ratio,variance_weighted_contribution
2.0,3-7,PC3,-0.0010708615697668606,0.7567353568519377,0.065239941307145,6.986294595966715e-05
2.0,7-10,PC1,-0.00021153245166313057,0.09510482603215982,0.663425121093245,0.0001403359423597634
2.0,7-10,PC2,-0.00044019001316468974,0.1979090881515971,0.265673541669123,0.000116946839804841
2.0,7-10,PC3,0.0015724806643761654,0.7069860858162431,0.065239941307145,0.0001025885462505214
3.0,0-3,PC1,-0.001075007893543345,0.4671348890477402,0.663425121093245,0.000713187241950188
3.0,0-3,PC2,-0.0004540370108603579,0.19729764773422012,0.265673541669123,0.00012062562072413334
3.0,0-3,PC3,-0.000772234487796612,0.33556746321803976,0.065239941307145,5.038053265920415e-05
3.0,10-15,PC1,-0.0003563099134624107,0.11309542207116893,0.663425121093245,0.0002363849474855235
3.0,10-15,PC2,-0.0006878744258045774,0.218336469402047,0.265673541669123,0.00018275003492711643
3.0,10-15,PC3,-0.002106340296807063,0.6685681085267839,0.065239941307145,0.00013741751733656717
3.0,3-7,PC1,-0.0007879609865746842,0.1177237117468117,0.663425121093245,0.0005227531129350627
3.0,3-7,PC2,-0.0009712652040340575,0.14510990627399067,0.265673541669123,0.0002580394666557114
3.0,3-7,PC3,-0.004934081171882099,0.7371663819791977,0.065239941307145,0.0003218991660582773
3.0,7-10,PC1,0.00013197081535166067,0.039135242480208283,0.663425121093245,8.755275415544976e-05
3.0,7-10,PC2,0.00012868968750455543,0.03816224149083907,0.265673541669123,3.4189445055627925e-05
3.0,7-10,PC3,0.0031115126839689777,0.9227025160289526,0.065239941307145,0.00020299490487857332
5.0,0-3,PC1,-0.00259659203989391,0.1468524378535966,0.663425121093245,0.0017226443884963733
5.0,0-3,PC2,-0.0017017941881208429,0.09624639581843544,0.265673541669123,0.00045212168914999406
5.0,0-3,PC3,0.013383254457327916,0.7569011663279679,0.065239941307145,0.00087312273529466
5.0,10-15,PC1,-0.00039920445135593896,0.038433137876920744,0.663425121093245,0.0002648422614817762
5.0,10-15,PC2,0.0006758884523450654,0.06507070246878403,0.265673541669123,0.00017956567890777577
5.0,10-15,PC3,0.00931189273963526,0.8964961596542952,0.065239941307145,0.000607507335792234
5.0,3-7,PC1,-0.001270280662561108,0.14608327950113625,0.663425121093245,0.0008427361023820105
5.0,3-7,PC2,-0.0003581011763943043,0.04118191812463202,0.265673541669123,9.513800780855417e-05
5.0,3-7,PC3,0.007067210612822941,0.8127348023742318,0.065239941307145,0.0004610644055858009
5.0,7-10,PC1,-0.001022858875698314,0.11915020748129483,0.663425121093245,0.0006785902734714544
5.0,7-10,PC2,-0.0017041393623132106,0.19851082433834055,0.265673541669123,0.00045274473988351143
5.0,7-10,PC3,-0.0058576185857476,0.6823389681803645,0.065239941307145,0.0003821506927338151
7.0,0-3,PC1,-0.011881017868915385,0.37049107311166024,0.663425121093245,0.007882165718396197
7.0,0-3,PC2,0.014431666030600056,0.4500290710322968,0.265673541669123,0.003834111826535491
7.0,0-3,PC3,0.0057556133718054,0.17947985585604295,0.065239941307145,0.00037549587856320325
7.0,10-15,PC1,-0.007503155602062626,0.21406264406103942,0.663425121093245,0.004977781913879858
7.0,10-15,PC2,0.01432393164322563,0.4086572161792247,0.265673541669123,0.003805489650282174
7.0,10-15,PC3,0.013224127014791238,0.37728013975973584,0.065239941307145,0.0008627412702832109
7.0,3-7,PC1,-0.015886891490448727,0.37628248334131764,0.663425121093245,0.010539762910846191
7.0,3-7,PC2,0.02522737826223301,0.5975127699720754,0.265673541669123,0.00670224692995409
7.0,3-7,PC3,-0.001106381470240253,0.026204746686606956,0.065239941307145,7.21802621817869e-05
7.0,7-10,PC1,-0.009870888979713364,0.23935080067733644,0.663425121093245,0.006548595716664316
7.0,7-10,PC2,0.013567198248464384,0.3289794637941925,0.265673541669123,0.003604445609196655
7.0,7-10,PC3,-0.017802171637804044,0.4316697355284711,0.065239941307145,0.0011614126327900572
10.0,0-3,PC1,-0.019420678684562123,0.3704910731116603,0.663425121093245,0.01288416610801863
10.0,0-3,PC2,0.023589961058511546,0.45002907103229683,0.265673541669123,0.006267228502251456
10.0,0-3,PC3,0.009408109571053615,0.17947985585604298,0.065239941307145,0.000613784516226727
10.0,10-15,PC1,-0.020698082538482293,0.24231994477419408,0.663425121093245,0.013731627914490596
